Klartext;aus;wird
STREIFEN1030;L;R
STREIFEN1030;M;M
STREIFEN1030;R;L
142;00;00
142;01;09
142;02;08
142;03;07
142;04;06
142;05;05
142;06;04
142;07;03
142;08;02
142;09;01
142;10;20
142;11;21
142;12;22
142;13;23
142;20;10
142;21;11
142;22;12
142;23;13
142;30;40
142;31;41
142;32;42
142;33;43
142;40;30
142;41;31
142;42;32
142;43;33
142;50;60
142;51;61
142;52;62
142;53;63
142;60;50
142;61;51
142;62;52
142;63;53
142;70;80
142;71;81
142;72;82
142;73;83
142;77;88
142;80;70
142;81;71
142;82;72
142;83;73
142;88;77
142;94;94
142;95;96
142;96;95
142;97;97
142;98;98
142;XX;XX
654;00;00
654;01;09
654;02;08
654;03;07
654;04;06
654;05;05
654;06;04
654;07;03
654;08;02
654;09;01
654;0L;0R
654;0R;0L
654;XX;XX
639;00;00
639;01;02
639;02;01
639;03;03
639;04;04
639;05;05
NullEins;1;0
NullEins;0;1
510;L;R
510;M;M
510;R;L
510;~;~
517;01;07
517;02;06
517;03;05
517;04;04
517;05;03
517;06;02
517;07;01
517;08;08
517;09;09
528;00;00
528;01;09
528;02;08
528;03;07
528;04;06
528;05;05
528;06;04
528;07;03
528;08;02
528;09;01
528;99;99
553;L;R
553;R;L
653;B;B
653;G;R
653;R;G
577;L;R
577;M;M
577;R;L
588;G;R
588;Q;Q
588;R;G
674;B;B
674;L;L
674;R;R
750;B;B
750;K;K
750;L;R
750;M;M
750;R;L
750;T;T
754;0;0
LAGE1112;M;M
LAGE1112;L;R
LAGE1112;R;L
846;B;B
846;L;R
846;R;L
856;01;07
856;03;05
856;04;04
856;05;03
856;07;01
856;08;08
856;09;09
856;XX;XX
534;M;M
534;L;R
534;R;L
886;B;B
886;G;R
886;R;G
890;B;B
890;G;R
890;R;G
890;0;0
603;01;07
603;02;06
603;03;05
603;04;04
603;05;03
603;06;02
603;07;01
603;08;08
603;09;09
603;95;96
603;96;95
